delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
559941.000,32125.000,32153.000,4252.000,14568.000,12886.000,9456.000,1677.000,41.000,87.000,-549.000,0.000
582130.000,102352.000,12002.000,9243.000,5611.000,10279.000,3216.000,1613.000,41.000,87.000,-434.000,0.000
675488.000,126411.000,16240.000,13234.000,8358.000,4736.000,4884.000,994.000,40.000,75.000,-588.000,0.000
118143.000,26694.000,3903.000,7131.000,1310.000,827.000,814.000,486.000,29.000,66.000,-551.000,0.000
303649.000,44069.000,13116.000,11126.000,7698.000,6993.000,1308.000,750.000,8.000,60.000,685.000,0.000
790513.000,37687.000,1683.000,4483.000,2307.000,797.000,307.000,230.000,1.000,60.000,-36.000,0.000
368666.000,50642.000,3609.000,7416.000,6817.000,8159.000,5057.000,1886.000,1.000,60.000,455.000,0.000
1304174.000,28104.000,9320.000,5903.000,11117.000,5390.000,6128.000,669.000,11.000,54.000,-243.000,0.000
126631.000,34012.000,2064.000,17470.000,12571.000,6830.000,3342.000,2550.000,38.000,54.000,242.000,0.000
269873.000,41158.000,35977.000,44490.000,14039.000,13358.000,9125.000,658.000,41.000,53.000,-157.000,0.000
324610.000,102762.000,14510.000,20971.000,28860.000,19360.000,8512.000,10100.000,66.000,78.000,230.000,0.000
225860.000,51597.000,5453.000,8232.000,4429.000,7298.000,4298.000,842.000,66.000,78.000,248.000,0.000
1399018.000,113696.000,112998.000,25254.000,129068.000,30650.000,23527.000,4274.000,64.000,83.000,83.000,0.000
166202.000,38915.000,8979.000,2196.000,3336.000,8388.000,5734.000,881.000,63.000,87.000,56.000,0.000
1090679.000,394366.000,86645.000,39119.000,57910.000,47437.000,11632.000,8301.000,67.000,81.000,48.000,0.000
431728.000,899164.000,242078.000,96248.000,88098.000,73935.000,22840.000,91258.000,64.000,61.000,-88.000,0.000
1009560.000,133801.000,17433.000,58848.000,33923.000,15659.000,4935.000,2877.000,64.000,61.000,-259.000,0.000
923049.000,483872.000,57411.000,133006.000,70092.000,85913.000,30745.000,14802.000,60.000,70.000,56.000,0.000
54694.000,22999.000,13244.000,13378.000,24696.000,7695.000,2046.000,5027.000,61.000,64.000,-51.000,0.000
1273195.000,140233.000,200069.000,76294.000,155748.000,68147.000,12076.000,6805.000,60.000,74.000,103.000,0.000
841947.000,26649.000,14582.000,14846.000,31486.000,31654.000,6029.000,3047.000,69.000,88.000,211.000,0.000
1843435.000,38391.000,36780.000,27538.000,31840.000,27161.000,7051.000,4624.000,91.000,84.000,209.000,0.000
473217.000,175355.000,542280.000,294874.000,274388.000,208454.000,24158.000,5798.000,97.000,96.000,52.000,0.000
150113.000,78585.000,1176.000,12902.000,54706.000,13553.000,3459.000,2842.000,97.000,100.000,358.000,0.000
1715141.000,216827.000,62718.000,63041.000,18479.000,31923.000,23737.000,2838.000,97.000,100.000,-1.000,0.000
2147681.000,122393.000,252425.000,79362.000,76988.000,104009.000,40435.000,8862.000,87.000,100.000,-316.000,0.000
256811.000,50932.000,5638.000,9677.000,14619.000,4243.000,720.000,879.000,87.000,100.000,227.000,0.000
1429714.000,718976.000,17602.000,47486.000,19144.000,20711.000,12402.000,6054.000,60.000,94.000,534.000,0.000
1820163.000,44249.000,10791.000,15069.000,3758.000,2545.000,1468.000,623.000,34.000,67.000,-372.000,0.000
2048906.000,111958.000,25656.000,9129.000,30259.000,18748.000,7804.000,3101.000,11.000,57.000,167.000,0.000
1927596.000,261606.000,11327.000,16065.000,11555.000,11097.000,4632.000,1349.000,16.000,50.000,363.000,0.000
631122.000,98506.000,39905.000,17462.000,4238.000,27198.000,5034.000,6481.000,10.000,40.000,246.000,0.000
