delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
466231.000,158586.000,69538.000,31806.000,66673.000,26908.000,5671.000,3065.000,63.000,56.000,-12.000,0.000
1131832.000,181276.000,15726.000,87892.000,28021.000,27480.000,13362.000,2061.000,47.000,57.000,61.000,0.000
606421.000,70503.000,12257.000,36272.000,43447.000,33114.000,8159.000,4918.000,53.000,61.000,125.000,0.000
2238357.000,200505.000,33378.000,141489.000,40621.000,48880.000,16149.000,3774.000,57.000,56.000,131.000,0.000
257314.000,45475.000,13826.000,15105.000,15688.000,7064.000,2108.000,1090.000,61.000,44.000,23.000,0.000
526489.000,87517.000,193028.000,60982.000,34522.000,20294.000,12332.000,5909.000,60.000,44.000,26.000,0.000
1095834.000,231195.000,21600.000,18664.000,35838.000,35960.000,10758.000,3314.000,53.000,63.000,69.000,0.000
2100743.000,101014.000,66886.000,20881.000,42143.000,39160.000,28769.000,3502.000,43.000,51.000,-130.000,0.000
290276.000,33520.000,44599.000,49174.000,19060.000,23461.000,10392.000,2232.000,50.000,48.000,-326.000,0.000
735665.000,43789.000,18770.000,35206.000,3087.000,5672.000,1678.000,1219.000,57.000,61.000,51.000,0.000
809559.000,171276.000,32306.000,70032.000,69920.000,13712.000,9296.000,1989.000,57.000,54.000,37.000,0.000
443037.000,19741.000,10008.000,17238.000,5923.000,5912.000,2310.000,457.000,48.000,67.000,43.000,0.000
116690.000,44813.000,9198.000,4830.000,8390.000,7005.000,3825.000,848.000,41.000,77.000,120.000,0.000
556141.000,269950.000,17165.000,111682.000,14347.000,27679.000,4612.000,3875.000,37.000,56.000,75.000,0.000
321399.000,130580.000,111105.000,29373.000,67014.000,35741.000,9441.000,1221.000,38.000,44.000,101.000,0.000
391015.000,164688.000,9154.000,27381.000,38775.000,18067.000,9387.000,6863.000,48.000,50.000,-44.000,0.000
1715917.000,180315.000,38994.000,90563.000,54543.000,36284.000,7982.000,2691.000,44.000,29.000,-203.000,0.000
1551864.000,39493.000,5971.000,20886.000,22670.000,16925.000,9400.000,2411.000,44.000,38.000,-246.000,0.000
230567.000,480040.000,115878.000,71612.000,39130.000,42314.000,13315.000,3137.000,60.000,37.000,85.000,0.000
1140427.000,435924.000,69086.000,59274.000,35169.000,16237.000,27921.000,3147.000,51.000,29.000,-5.000,0.000
1271982.000,50766.000,13031.000,11922.000,14615.000,7047.000,2342.000,617.000,38.000,35.000,100.000,0.000
172843.000,54730.000,7816.000,21973.000,17598.000,8990.000,2375.000,930.000,35.000,30.000,72.000,0.000
739351.000,215827.000,40352.000,205264.000,56228.000,37696.000,6150.000,2926.000,26.000,34.000,21.000,0.000
753114.000,124796.000,29326.000,82514.000,8321.000,25940.000,24892.000,4731.000,27.000,43.000,-218.000,0.000
958205.000,431530.000,30020.000,35607.000,91827.000,58604.000,12160.000,2299.000,43.000,54.000,54.000,0.000
1805515.000,166246.000,156922.000,85122.000,36792.000,40292.000,9055.000,5040.000,47.000,43.000,117.000,0.000
1325481.000,124718.000,12188.000,22508.000,33254.000,26116.000,14437.000,3868.000,44.000,53.000,107.000,0.000
289466.000,13243.000,18005.000,5989.000,8656.000,6643.000,1098.000,587.000,53.000,37.000,112.000,0.000
1018270.000,94353.000,46794.000,34716.000,73488.000,22148.000,8519.000,3733.000,57.000,40.000,50.000,0.000
625844.000,69778.000,40388.000,52524.000,43034.000,21609.000,9255.000,1985.000,57.000,53.000,135.000,0.000
138245.000,40196.000,2265.000,20239.000,10650.000,12502.000,4394.000,1266.000,63.000,48.000,-1316.000,0.000
1365483.000,33401.000,1765.000,20960.000,14221.000,16020.000,2985.000,1446.000,64.000,54.000,665.000,0.000
1047689.000,166886.000,25515.000,11475.000,6799.000,3347.000,1469.000,779.000,64.000,54.000,28.000,0.000
15386.000,4182.000,1257.000,975.000,629.000,487.000,138.000,66.000,64.000,54.000,12.000,0.000
778010.000,31749.000,88859.000,63138.000,19098.000,8284.000,3242.000,4340.000,64.000,54.000,74.000,0.000
330412.000,345473.000,11008.000,108277.000,39599.000,26212.000,13925.000,4466.000,64.000,54.000,91.000,0.000
147250.000,5084.000,11139.000,7727.000,6563.000,4872.000,4656.000,862.000,51.000,43.000,43.000,0.000
143040.000,342119.000,254779.000,30452.000,47735.000,55131.000,14523.000,10506.000,57.000,54.000,-188.000,0.000
535464.000,56936.000,24294.000,21150.000,49434.000,6855.000,2437.000,897.000,53.000,54.000,139.000,0.000
419338.000,34074.000,8700.000,6716.000,15413.000,7396.000,2898.000,820.000,41.000,56.000,-294.000,0.000
416212.000,76731.000,13076.000,18395.000,10671.000,11794.000,1429.000,757.000,53.000,56.000,105.000,0.000
618039.000,212096.000,79498.000,25937.000,47480.000,49560.000,6430.000,6032.000,47.000,43.000,121.000,0.000
1660542.000,197073.000,48549.000,55302.000,85782.000,26200.000,20562.000,4494.000,53.000,35.000,-357.000,0.000
248739.000,17621.000,8830.000,4869.000,5460.000,2062.000,470.000,408.000,54.000,30.000,50.000,0.000
57553.000,63812.000,7511.000,16393.000,8321.000,5238.000,2556.000,1181.000,44.000,38.000,93.000,0.000
320575.000,120071.000,22259.000,23459.000,50898.000,27334.000,14584.000,2797.000,40.000,38.000,82.000,0.000
1653290.000,35981.000,38424.000,15143.000,27585.000,46328.000,23808.000,6930.000,40.000,34.000,-210.000,0.000
1405729.000,207392.000,49872.000,24137.000,20296.000,7969.000,2391.000,2151.000,61.000,38.000,-4.000,0.000
1847116.000,558190.000,54994.000,51258.000,63475.000,65976.000,6312.000,3145.000,51.000,30.000,-152.000,0.000
660448.000,22920.000,13171.000,6876.000,4455.000,4477.000,1826.000,1162.000,57.000,23.000,-290.000,0.000
1024471.000,39669.000,15441.000,7168.000,14763.000,12779.000,1874.000,1723.000,53.000,35.000,202.000,0.000
1479956.000,41430.000,46409.000,32217.000,28115.000,52506.000,19040.000,4900.000,41.000,29.000,9.000,0.000
485840.000,17622.000,21281.000,5600.000,5035.000,12141.000,3542.000,575.000,70.000,38.000,57.000,0.000
250253.000,106817.000,130244.000,14636.000,19067.000,21442.000,6910.000,4940.000,83.000,57.000,90.000,0.000
91600.000,20899.000,8630.000,4527.000,5672.000,10353.000,2448.000,827.000,80.000,64.000,32.000,0.000
461071.000,126292.000,46910.000,28774.000,17902.000,28382.000,14762.000,3230.000,84.000,64.000,-197.000,0.000
583824.000,149786.000,31331.000,94591.000,101013.000,16882.000,7925.000,4820.000,70.000,60.000,39.000,0.000
2340606.000,90420.000,31003.000,47418.000,35636.000,22974.000,18552.000,4406.000,54.000,54.000,39.000,0.000
1180172.000,592781.000,345743.000,46010.000,57773.000,27342.000,18681.000,4360.000,60.000,47.000,165.000,0.000
147735.000,191569.000,26016.000,39976.000,65235.000,71591.000,13665.000,3075.000,34.000,51.000,108.000,0.000
578125.000,199699.000,73843.000,128882.000,35938.000,28227.000,5906.000,2954.000,40.000,43.000,83.000,0.000
235446.000,53629.000,20767.000,9761.000,31055.000,7697.000,2839.000,883.000,41.000,48.000,60.000,0.000
67418.000,9592.000,6459.000,27960.000,8555.000,11136.000,1091.000,749.000,38.000,43.000,129.000,0.000
253057.000,164961.000,19106.000,103986.000,39191.000,15758.000,7505.000,1946.000,63.000,51.000,26.000,0.000
1013237.000,72488.000,96990.000,81650.000,48036.000,19783.000,10207.000,2897.000,44.000,64.000,54.000,0.000
357893.000,325784.000,130742.000,56511.000,59549.000,16461.000,8933.000,3989.000,47.000,69.000,-23.000,0.000
711342.000,161671.000,46150.000,5846.000,22269.000,9995.000,1448.000,889.000,35.000,75.000,243.000,0.000
46932.000,28234.000,1225.000,5050.000,3115.000,3885.000,759.000,335.000,14.000,56.000,150.000,0.000
115511.000,14493.000,36379.000,6655.000,11130.000,8308.000,2216.000,655.000,23.000,43.000,100.000,0.000
460233.000,212833.000,6265.000,22600.000,26240.000,21153.000,7777.000,5037.000,30.000,43.000,131.000,0.000
446108.000,4666.000,15867.000,9522.000,12008.000,7934.000,3489.000,1656.000,41.000,26.000,-21.000,0.000
1435251.000,330110.000,85310.000,15355.000,22988.000,17198.000,10656.000,3644.000,63.000,41.000,-139.000,0.000
855922.000,102865.000,13485.000,43441.000,44043.000,20235.000,7160.000,1822.000,50.000,47.000,87.000,0.000
963546.000,123731.000,125155.000,35546.000,11285.000,25472.000,5000.000,3132.000,48.000,30.000,89.000,0.000
237954.000,259329.000,13762.000,47978.000,37643.000,43807.000,4626.000,2239.000,48.000,56.000,-9.000,0.000
1322329.000,175459.000,195639.000,57847.000,37758.000,30082.000,10922.000,1928.000,40.000,38.000,134.000,0.000
1385524.000,122752.000,53786.000,147119.000,82817.000,23035.000,12586.000,1825.000,47.000,54.000,169.000,0.000
579243.000,151372.000,21167.000,52856.000,42274.000,16966.000,19081.000,4148.000,41.000,66.000,-22.000,0.000
965908.000,426419.000,66400.000,52352.000,31128.000,13931.000,22122.000,2796.000,40.000,54.000,13.000,0.000
947527.000,161759.000,46432.000,54989.000,32968.000,7659.000,1179.000,899.000,20.000,57.000,-2.000,0.000
2690955.000,190082.000,27708.000,35051.000,80537.000,29635.000,17328.000,5158.000,8.000,48.000,87.000,0.000
722329.000,73608.000,14681.000,27243.000,8735.000,22415.000,10795.000,3970.000,13.000,30.000,-189.000,0.000
