delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
31212.000,65310.000,37021.000,22327.000,8372.000,5707.000,2560.000,390.000,1.000,100.000,-193.000,0.000
1560129.000,508107.000,165541.000,183787.000,47254.000,14147.000,10149.000,4586.000,1.000,94.000,151.000,0.000
378607.000,298505.000,27115.000,77450.000,17399.000,24557.000,8025.000,3451.000,1.000,84.000,200.000,0.000
183385.000,16410.000,19387.000,7546.000,4065.000,4256.000,1667.000,2118.000,1.000,74.000,81.000,0.000
663378.000,299307.000,53125.000,48177.000,60047.000,20374.000,7065.000,8238.000,20.000,60.000,-83.000,0.000
520740.000,296012.000,48291.000,35914.000,19680.000,13462.000,8942.000,6138.000,23.000,50.000,98.000,0.000
141821.000,337948.000,13581.000,186994.000,81242.000,29749.000,10808.000,2682.000,35.000,41.000,75.000,0.000
95277.000,40556.000,3703.000,42660.000,2835.000,6959.000,1487.000,634.000,34.000,47.000,36.000,0.000
129288.000,15206.000,2452.000,2841.000,1645.000,3456.000,842.000,953.000,29.000,44.000,74.000,0.000
283973.000,225275.000,131336.000,32031.000,51491.000,40117.000,14550.000,2518.000,47.000,44.000,-11.000,0.000
433007.000,293162.000,38012.000,35118.000,35257.000,8612.000,3300.000,4098.000,60.000,51.000,88.000,0.000
2053979.000,83652.000,147926.000,28912.000,27243.000,15529.000,3705.000,4270.000,50.000,43.000,108.000,0.000
1067077.000,179486.000,14564.000,37650.000,11498.000,36966.000,10434.000,6888.000,47.000,47.000,55.000,0.000
2405431.000,198149.000,112723.000,7428.000,8716.000,23286.000,24015.000,12471.000,47.000,44.000,140.000,0.000
2869887.000,287893.000,44808.000,144805.000,23020.000,34887.000,12636.000,14850.000,41.000,44.000,33.000,0.000
1430003.000,332609.000,39201.000,101824.000,53735.000,27460.000,19818.000,10815.000,56.000,53.000,140.000,0.000
1036376.000,221299.000,16345.000,18585.000,26906.000,16727.000,9325.000,7228.000,56.000,41.000,-310.000,0.000
