delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
172904.000,83018.000,23629.000,23683.000,33145.000,14261.000,15126.000,2911.000,51.000,69.000,29.000,0.000
72500.000,8074.000,6334.000,1874.000,1963.000,925.000,985.000,366.000,48.000,61.000,84.000,0.000
200414.000,9045.000,5912.000,9003.000,6672.000,8522.000,2650.000,1181.000,40.000,94.000,57.000,0.000
850078.000,53715.000,116446.000,70422.000,32640.000,44887.000,5617.000,2387.000,56.000,94.000,141.000,0.000
560693.000,71103.000,6599.000,29235.000,20788.000,16276.000,21586.000,7542.000,64.000,90.000,4.000,0.000
1082509.000,137622.000,24260.000,17471.000,6122.000,23203.000,11244.000,7285.000,69.000,90.000,-22.000,0.000
883210.000,55432.000,62818.000,38892.000,6201.000,36965.000,6795.000,6787.000,81.000,77.000,23.000,0.000
891626.000,287526.000,55335.000,101583.000,15603.000,16228.000,4843.000,6493.000,75.000,81.000,-21.000,0.000
1787332.000,195144.000,59529.000,28260.000,57582.000,22358.000,23256.000,11615.000,54.000,70.000,300.000,0.000
1306106.000,208774.000,42967.000,14898.000,10458.000,32194.000,11696.000,5217.000,44.000,70.000,10.000,0.000
991196.000,84042.000,9835.000,5017.000,20087.000,25040.000,2187.000,1302.000,41.000,69.000,96.000,0.000
170867.000,14479.000,7773.000,4484.000,5485.000,5586.000,2839.000,862.000,41.000,48.000,-155.000,0.000
682488.000,120104.000,34533.000,29288.000,19543.000,31999.000,10278.000,11269.000,64.000,48.000,34.000,0.000
567990.000,126716.000,77124.000,34277.000,11030.000,28631.000,15804.000,5578.000,77.000,50.000,-24.000,0.000
301295.000,80241.000,43944.000,38990.000,35497.000,24384.000,13044.000,10942.000,77.000,60.000,32.000,0.000
1932171.000,229139.000,17066.000,55199.000,20322.000,10308.000,9774.000,5461.000,69.000,77.000,131.000,0.000
131776.000,48973.000,14926.000,5157.000,3677.000,5046.000,2537.000,1432.000,47.000,70.000,-44.000,0.000
49600.000,42235.000,4358.000,11148.000,6549.000,5003.000,6937.000,867.000,34.000,69.000,320.000,0.000
2587756.000,108665.000,42460.000,111794.000,18365.000,32554.000,12967.000,3367.000,27.000,63.000,-22.000,0.000
189876.000,201678.000,57200.000,65061.000,24889.000,29966.000,4771.000,10504.000,24.000,67.000,-33.000,0.000
592689.000,13607.000,7339.000,15271.000,16313.000,3484.000,2210.000,1590.000,40.000,74.000,25.000,0.000
1107368.000,139709.000,25101.000,66708.000,8262.000,13522.000,13113.000,3130.000,43.000,80.000,42.000,0.000
587479.000,166940.000,21656.000,71277.000,14111.000,41552.000,11275.000,13825.000,40.000,87.000,-54.000,0.000
55825.000,33423.000,13013.000,20295.000,19820.000,10213.000,2289.000,898.000,43.000,78.000,233.000,0.000
70041.000,13500.000,12443.000,4883.000,1409.000,1808.000,548.000,170.000,48.000,80.000,-35.000,0.000
859662.000,87943.000,4071.000,21963.000,14251.000,21644.000,11051.000,11371.000,41.000,83.000,96.000,0.000
305719.000,157896.000,106650.000,38227.000,8904.000,9162.000,15528.000,5531.000,57.000,74.000,107.000,0.000
132369.000,4149.000,1587.000,819.000,1855.000,3635.000,574.000,341.000,35.000,80.000,0.000,0.000
865928.000,99083.000,66833.000,27329.000,17848.000,26165.000,12196.000,2423.000,51.000,70.000,-3.000,0.000
1450915.000,254705.000,106638.000,126682.000,22759.000,14893.000,13843.000,6637.000,63.000,67.000,13.000,0.000
1008183.000,133677.000,4160.000,37955.000,32283.000,18540.000,11530.000,5896.000,38.000,83.000,-49.000,0.000
797103.000,293995.000,37725.000,125781.000,36004.000,35847.000,14236.000,5104.000,54.000,69.000,-19.000,0.000
381790.000,21770.000,715.000,4975.000,1839.000,5462.000,3163.000,1517.000,29.000,75.000,-315.000,0.000
410388.000,24794.000,11533.000,4812.000,2106.000,3339.000,804.000,424.000,35.000,61.000,147.000,0.000
270794.000,160433.000,7883.000,36624.000,19083.000,15648.000,16110.000,4339.000,47.000,57.000,-21.000,0.000
1784709.000,306820.000,127843.000,35963.000,19162.000,26466.000,8383.000,5936.000,41.000,57.000,-82.000,0.000
924130.000,123704.000,46432.000,37333.000,13663.000,14585.000,6608.000,2818.000,37.000,57.000,0.000,0.000
1432634.000,163160.000,29002.000,13612.000,34968.000,19600.000,4992.000,3137.000,24.000,67.000,90.000,0.000
251653.000,188914.000,98713.000,18145.000,27943.000,16907.000,19979.000,4960.000,26.000,57.000,-202.000,0.000
1752095.000,322618.000,117754.000,19870.000,17007.000,10504.000,8225.000,9375.000,21.000,66.000,66.000,0.000
318357.000,82335.000,106471.000,38910.000,50422.000,16829.000,12637.000,4394.000,11.000,64.000,98.000,0.000
449680.000,207557.000,5506.000,50569.000,23556.000,23367.000,15018.000,4793.000,11.000,69.000,36.000,0.000
401753.000,214179.000,50975.000,94976.000,17196.000,30207.000,10353.000,8275.000,10.000,69.000,85.000,0.000
172822.000,243469.000,30476.000,24449.000,13046.000,15875.000,7472.000,8025.000,16.000,69.000,-254.000,0.000
372530.000,124520.000,47514.000,57186.000,13616.000,13432.000,12597.000,3379.000,26.000,61.000,55.000,0.000
79411.000,107954.000,6503.000,21325.000,11046.000,5197.000,3335.000,2368.000,23.000,57.000,-149.000,0.000
1365025.000,203656.000,94727.000,33860.000,21544.000,28797.000,5546.000,4615.000,13.000,57.000,-6.000,0.000
244364.000,100765.000,26486.000,7130.000,13749.000,7744.000,1663.000,595.000,13.000,56.000,-51.000,0.000
1491463.000,184498.000,51586.000,12490.000,11676.000,36344.000,6920.000,3204.000,14.000,61.000,85.000,0.000
136206.000,94018.000,38707.000,64406.000,78348.000,14578.000,11441.000,4519.000,24.000,53.000,25.000,0.000
111227.000,46803.000,15782.000,15088.000,4736.000,8473.000,3775.000,1821.000,34.000,63.000,-92.000,0.000
135324.000,28136.000,12460.000,5680.000,22896.000,6754.000,4947.000,1781.000,37.000,64.000,67.000,0.000
450372.000,225075.000,27611.000,80606.000,15054.000,22857.000,8419.000,2290.000,48.000,64.000,40.000,0.000
232437.000,263273.000,107672.000,24246.000,13001.000,25469.000,5736.000,4857.000,40.000,67.000,-18.000,0.000
536076.000,447219.000,53251.000,31226.000,26575.000,41526.000,15708.000,9902.000,38.000,66.000,36.000,0.000
1059269.000,219950.000,97180.000,65184.000,15524.000,27255.000,13277.000,2629.000,30.000,53.000,60.000,0.000
1631127.000,175838.000,190201.000,29544.000,30094.000,45684.000,13677.000,10767.000,23.000,60.000,118.000,0.000
647257.000,41866.000,65834.000,24066.000,10532.000,13635.000,8068.000,5014.000,29.000,67.000,58.000,0.000
116892.000,43449.000,6416.000,8573.000,3085.000,6524.000,3977.000,350.000,35.000,78.000,49.000,0.000
512233.000,429560.000,6636.000,60912.000,66682.000,49257.000,6590.000,5659.000,40.000,84.000,-28.000,0.000
236647.000,126604.000,23632.000,297696.000,61395.000,25319.000,4253.000,2976.000,43.000,69.000,82.000,0.000
670253.000,132517.000,33857.000,98489.000,35974.000,33697.000,9967.000,19305.000,34.000,75.000,-14.000,0.000
2776762.000,315045.000,19747.000,67661.000,11381.000,31486.000,10108.000,22382.000,37.000,69.000,-4.000,0.000
1791188.000,162148.000,106288.000,52894.000,23411.000,20047.000,14865.000,4033.000,34.000,67.000,-364.000,0.000
1133135.000,42710.000,23407.000,27387.000,13841.000,7108.000,8441.000,2920.000,27.000,88.000,11.000,0.000
695982.000,172988.000,20072.000,45384.000,68509.000,30902.000,15930.000,5440.000,30.000,81.000,90.000,0.000
509026.000,91068.000,45403.000,63159.000,36696.000,17918.000,13224.000,2242.000,35.000,67.000,12.000,0.000
303158.000,60121.000,36451.000,38890.000,67555.000,21506.000,9156.000,5509.000,37.000,81.000,67.000,0.000
330764.000,19706.000,5247.000,28739.000,9818.000,7544.000,2435.000,2162.000,48.000,77.000,18.000,0.000
163334.000,80782.000,19896.000,14339.000,6403.000,3295.000,1780.000,1742.000,57.000,78.000,-87.000,0.000
1328018.000,256909.000,40413.000,22812.000,25133.000,25090.000,8917.000,15173.000,37.000,83.000,-33.000,0.000
331867.000,213809.000,59594.000,21129.000,42998.000,13484.000,2976.000,8537.000,35.000,69.000,88.000,0.000
484390.000,291301.000,63144.000,83685.000,47144.000,40279.000,10396.000,7221.000,20.000,63.000,217.000,0.000
122211.000,5883.000,3748.000,711.000,1292.000,1853.000,591.000,181.000,13.000,53.000,50.000,0.000
1034939.000,47242.000,155518.000,46324.000,38847.000,25607.000,10532.000,2231.000,40.000,56.000,102.000,0.000
