delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
543179.000,21935.000,7508.000,3985.000,4022.000,5238.000,4629.000,2301.000,47.000,44.000,9.000,0.000
61635.000,25401.000,13428.000,15600.000,18413.000,7938.000,2756.000,1783.000,48.000,43.000,50.000,0.000
1233325.000,114288.000,22333.000,83424.000,60237.000,31910.000,14302.000,4806.000,51.000,50.000,-34.000,0.000
1629669.000,279488.000,17531.000,25771.000,26004.000,26913.000,4403.000,834.000,56.000,50.000,32.000,0.000
3590.000,1089.000,285.000,493.000,268.000,98.000,72.000,19.000,56.000,50.000,25.000,0.000
1554406.000,271797.000,192560.000,115548.000,76321.000,41835.000,20033.000,14912.000,56.000,50.000,89.000,0.000
313319.000,681659.000,35634.000,31833.000,22777.000,36811.000,6329.000,7182.000,56.000,50.000,240.000,0.000
341265.000,191499.000,15799.000,56426.000,14422.000,13550.000,4909.000,1785.000,57.000,35.000,80.000,0.000
1114711.000,238803.000,15780.000,36933.000,37270.000,9938.000,7721.000,6108.000,47.000,35.000,90.000,0.000
381868.000,157819.000,29850.000,31789.000,40916.000,38266.000,5367.000,7557.000,30.000,20.000,-58.000,0.000
672057.000,114841.000,55767.000,28364.000,23096.000,30268.000,12710.000,8040.000,34.000,13.000,58.000,0.000
1127394.000,64518.000,10952.000,16014.000,25499.000,13359.000,4210.000,2417.000,44.000,34.000,59.000,0.000
431885.000,188986.000,18055.000,14910.000,9475.000,3602.000,3937.000,887.000,56.000,30.000,49.000,0.000
975948.000,75775.000,20744.000,47058.000,39929.000,13198.000,11806.000,5093.000,50.000,30.000,112.000,0.000
963169.000,42505.000,19477.000,2929.000,5052.000,14669.000,3632.000,400.000,43.000,38.000,-83.000,0.000
288214.000,119326.000,61426.000,16753.000,25459.000,11211.000,8896.000,2029.000,47.000,34.000,-197.000,0.000
1116857.000,67914.000,49782.000,98315.000,21366.000,70837.000,6232.000,3229.000,37.000,40.000,114.000,0.000
1586550.000,53324.000,75192.000,31865.000,35835.000,22366.000,18128.000,2185.000,66.000,60.000,60.000,0.000
1328819.000,211937.000,43597.000,27565.000,44143.000,25980.000,8438.000,7032.000,69.000,66.000,59.000,0.000
1757806.000,609467.000,8821.000,71676.000,37056.000,56957.000,22120.000,18304.000,61.000,63.000,120.000,0.000
1126549.000,191712.000,37677.000,7413.000,47335.000,23184.000,16077.000,8866.000,64.000,47.000,-155.000,0.000
157681.000,153429.000,8314.000,57825.000,6656.000,10188.000,1497.000,1863.000,53.000,26.000,354.000,0.000
117500.000,29707.000,16860.000,13029.000,7554.000,5147.000,2330.000,1257.000,41.000,16.000,91.000,0.000
112420.000,35772.000,1205.000,9322.000,15307.000,5993.000,4636.000,1149.000,41.000,27.000,82.000,0.000
479802.000,19295.000,61145.000,45104.000,26429.000,19524.000,6298.000,2818.000,47.000,35.000,50.000,0.000
80388.000,18483.000,18096.000,8482.000,20599.000,2438.000,2636.000,518.000,50.000,60.000,21.000,0.000
239998.000,31670.000,8144.000,3636.000,7310.000,9347.000,2491.000,1086.000,51.000,64.000,21.000,0.000
1400143.000,84983.000,20168.000,81959.000,39817.000,29436.000,8067.000,3391.000,61.000,51.000,13.000,0.000
37008.000,180951.000,54479.000,36045.000,51261.000,31127.000,6940.000,7710.000,63.000,66.000,72.000,0.000
436717.000,337439.000,35881.000,18220.000,12852.000,20028.000,12858.000,6328.000,61.000,48.000,27.000,0.000
170426.000,30217.000,65895.000,29884.000,18987.000,23478.000,5747.000,4034.000,61.000,30.000,-146.000,0.000
456150.000,60273.000,5550.000,12729.000,4721.000,8329.000,3779.000,787.000,57.000,51.000,27.000,0.000
153788.000,48661.000,31022.000,28596.000,8540.000,7472.000,2655.000,514.000,54.000,40.000,11.000,0.000
138617.000,49111.000,57661.000,94041.000,59463.000,16956.000,8913.000,3112.000,50.000,51.000,73.000,0.000
1486967.000,190247.000,41890.000,84604.000,18631.000,21584.000,9734.000,2536.000,54.000,77.000,113.000,0.000
144198.000,10446.000,8177.000,18440.000,5858.000,12373.000,1492.000,1056.000,47.000,66.000,-3.000,0.000
212054.000,11128.000,12636.000,40092.000,4792.000,7791.000,1656.000,1177.000,56.000,80.000,8.000,0.000
149549.000,6323.000,13240.000,17590.000,14573.000,7023.000,2513.000,1753.000,63.000,90.000,45.000,0.000
124403.000,158998.000,28624.000,43353.000,12919.000,25435.000,29770.000,5984.000,69.000,90.000,-17.000,0.000
953917.000,85969.000,35889.000,34140.000,35084.000,47881.000,6122.000,3809.000,74.000,84.000,80.000,0.000
120915.000,9660.000,10649.000,11492.000,9841.000,6304.000,2272.000,370.000,74.000,78.000,112.000,0.000
1308234.000,260188.000,22477.000,8841.000,74818.000,70377.000,3031.000,1613.000,77.000,66.000,-683.000,0.000
264870.000,20532.000,7723.000,3899.000,5601.000,5124.000,1967.000,476.000,81.000,37.000,124.000,0.000
502078.000,52737.000,6388.000,8612.000,4353.000,7619.000,4320.000,1735.000,84.000,37.000,25.000,0.000
861430.000,62825.000,32228.000,9476.000,4215.000,11403.000,10981.000,1187.000,75.000,27.000,55.000,0.000
810735.000,188897.000,47467.000,34850.000,85396.000,67998.000,3177.000,2631.000,69.000,23.000,132.000,0.000
1503698.000,105453.000,37698.000,7331.000,22491.000,35303.000,12091.000,5248.000,69.000,37.000,-58.000,0.000
481982.000,92890.000,56400.000,63770.000,18124.000,18676.000,8529.000,3993.000,74.000,34.000,-185.000,0.000
