delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
1133267.000,107002.000,76446.000,72466.000,46227.000,37163.000,48477.000,9026.000,26.000,100.000,58.000,0.000
103302.000,30366.000,6663.000,3215.000,9541.000,3002.000,2382.000,1383.000,34.000,100.000,-299.000,0.000
203495.000,20301.000,36240.000,17294.000,18908.000,22278.000,21089.000,3649.000,34.000,97.000,115.000,0.000
1572885.000,186386.000,23018.000,11484.000,7620.000,13891.000,12485.000,11627.000,44.000,100.000,101.000,0.000
325079.000,42796.000,20445.000,130104.000,11255.000,49885.000,25087.000,17621.000,35.000,87.000,304.000,0.000
1306949.000,31218.000,36963.000,54279.000,30931.000,8290.000,12938.000,15051.000,41.000,90.000,-162.000,0.000
244005.000,416370.000,18068.000,68207.000,51158.000,23924.000,27073.000,5376.000,41.000,100.000,129.000,0.000
443394.000,200955.000,36463.000,106335.000,47589.000,15823.000,18038.000,18853.000,23.000,87.000,249.000,0.000
1157518.000,396862.000,45368.000,121544.000,24628.000,13715.000,40484.000,21337.000,20.000,94.000,124.000,0.000
893024.000,951674.000,173070.000,205399.000,99996.000,141781.000,76868.000,32678.000,1.000,81.000,23.000,0.000
251208.000,259352.000,23000.000,47274.000,55568.000,43588.000,18193.000,10837.000,1.000,64.000,44.000,0.000
635540.000,170381.000,59711.000,25910.000,46779.000,22255.000,23340.000,7742.000,8.000,67.000,-173.000,0.000
1951196.000,368452.000,112739.000,92681.000,28705.000,23286.000,11381.000,10906.000,14.000,64.000,91.000,0.000
178797.000,181909.000,6794.000,34930.000,17384.000,17890.000,30720.000,11002.000,20.000,66.000,156.000,0.000
119863.000,41162.000,20317.000,12096.000,2025.000,3916.000,3253.000,1363.000,16.000,61.000,44.000,0.000
903971.000,181676.000,6540.000,28545.000,3699.000,7698.000,8591.000,1865.000,8.000,75.000,-174.000,0.000
290026.000,128713.000,76341.000,32871.000,20347.000,17710.000,17259.000,9781.000,1.000,67.000,27.000,0.000
865102.000,166703.000,54134.000,34803.000,6439.000,27401.000,7868.000,2367.000,7.000,70.000,-4.000,0.000
529166.000,92564.000,28225.000,30222.000,22097.000,30440.000,9912.000,8593.000,10.000,80.000,-171.000,0.000
378038.000,26448.000,2376.000,14262.000,11588.000,5418.000,6847.000,2537.000,23.000,74.000,16.000,0.000
1792962.000,599904.000,40452.000,17430.000,10506.000,27478.000,27651.000,11298.000,35.000,81.000,12.000,0.000
550044.000,423648.000,16556.000,40314.000,28096.000,6510.000,8814.000,3455.000,27.000,61.000,-433.000,0.000
536603.000,17579.000,20422.000,11101.000,4762.000,4646.000,2199.000,3509.000,13.000,50.000,76.000,0.000
1289910.000,971833.000,657424.000,46178.000,88020.000,81554.000,49746.000,23633.000,10.000,60.000,-40.000,0.000
267617.000,567592.000,83988.000,22067.000,10490.000,9376.000,11213.000,7954.000,3.000,63.000,-474.000,0.000
663868.000,32148.000,29238.000,28929.000,8511.000,5749.000,6098.000,2158.000,1.000,69.000,43.000,0.000
597435.000,46054.000,39800.000,50146.000,21569.000,12073.000,9649.000,8609.000,11.000,94.000,70.000,0.000
529020.000,46227.000,19442.000,17358.000,11212.000,4733.000,6563.000,1451.000,8.000,93.000,-142.000,0.000
892879.000,17349.000,4430.000,5054.000,2963.000,2982.000,3908.000,1625.000,10.000,93.000,-40.000,0.000
1329850.000,240101.000,44350.000,45524.000,15221.000,26562.000,22896.000,5118.000,29.000,100.000,218.000,0.000
686838.000,117475.000,35878.000,12456.000,13576.000,6006.000,8084.000,1366.000,30.000,87.000,-18.000,0.000
892604.000,146477.000,55757.000,35401.000,22766.000,15951.000,9002.000,6867.000,23.000,74.000,-6.000,0.000
1174527.000,275507.000,36389.000,17369.000,45760.000,5718.000,7480.000,3883.000,24.000,74.000,129.000,0.000
519337.000,126380.000,39524.000,39569.000,11516.000,17200.000,10957.000,4022.000,8.000,63.000,199.000,0.000
849351.000,331292.000,11837.000,21717.000,26214.000,13651.000,25364.000,5818.000,10.000,67.000,66.000,0.000
254016.000,22091.000,12504.000,400.000,9946.000,3901.000,1666.000,3170.000,10.000,56.000,-6.000,0.000
2372339.000,862600.000,17592.000,81308.000,69764.000,37040.000,53376.000,33020.000,14.000,53.000,283.000,0.000
1291706.000,196742.000,81921.000,29381.000,9379.000,39720.000,78367.000,13437.000,23.000,48.000,-409.000,0.000
544081.000,179782.000,8098.000,3620.000,6557.000,1845.000,3570.000,1783.000,26.000,47.000,166.000,0.000
659443.000,229534.000,67563.000,48751.000,51653.000,19550.000,36328.000,5552.000,16.000,41.000,-20.000,0.000
1856741.000,122784.000,101238.000,48921.000,48452.000,85056.000,69091.000,23228.000,13.000,41.000,548.000,0.000
1513162.000,185029.000,49659.000,248107.000,43951.000,68432.000,26729.000,32003.000,30.000,60.000,243.000,0.000
282908.000,43166.000,39614.000,38149.000,20873.000,8174.000,22406.000,4753.000,35.000,69.000,4.000,0.000
693277.000,281689.000,90141.000,186742.000,102591.000,49532.000,51450.000,36609.000,35.000,69.000,-311.000,0.000
1287429.000,1287591.000,188518.000,431622.000,124988.000,137874.000,271802.000,37600.000,54.000,94.000,57.000,0.000
389562.000,113806.000,38311.000,38952.000,16234.000,15181.000,22300.000,7895.000,56.000,94.000,-88.000,0.000
1421591.000,240041.000,135976.000,90893.000,45762.000,27674.000,49651.000,12499.000,44.000,93.000,-33.000,0.000
462952.000,123221.000,24187.000,31706.000,23966.000,9850.000,9455.000,11091.000,37.000,90.000,5.000,0.000
1995105.000,284579.000,91253.000,196230.000,93335.000,78822.000,68435.000,14617.000,34.000,83.000,185.000,0.000
1014370.000,23222.000,37040.000,16770.000,10576.000,5509.000,3933.000,2466.000,38.000,88.000,54.000,0.000
387465.000,168628.000,7738.000,24297.000,10713.000,6463.000,6328.000,6881.000,37.000,97.000,-120.000,0.000
860542.000,1055741.000,75154.000,42031.000,115349.000,26384.000,26723.000,5559.000,30.000,83.000,55.000,0.000
888812.000,37250.000,40463.000,24430.000,16648.000,14692.000,2537.000,4447.000,21.000,69.000,24.000,0.000
188797.000,400789.000,33880.000,74084.000,55254.000,39570.000,35448.000,4941.000,23.000,74.000,86.000,0.000
823861.000,165428.000,91871.000,53137.000,123647.000,56808.000,31663.000,8417.000,23.000,53.000,217.000,0.000
1848238.000,478221.000,107148.000,36938.000,11113.000,30367.000,7586.000,2875.000,40.000,63.000,-237.000,0.000
794501.000,60054.000,11643.000,8213.000,15058.000,18702.000,10160.000,2136.000,47.000,74.000,-89.000,0.000
209396.000,50921.000,5274.000,4419.000,3654.000,1983.000,2737.000,1349.000,51.000,57.000,-9.000,0.000
546296.000,23533.000,5029.000,5869.000,6425.000,5569.000,3151.000,2418.000,43.000,56.000,76.000,0.000
141053.000,117379.000,166219.000,39501.000,15274.000,15258.000,23892.000,6708.000,41.000,53.000,-161.000,0.000
937624.000,85476.000,143267.000,99730.000,59297.000,22635.000,32930.000,7672.000,41.000,69.000,145.000,0.000
2783629.000,1185153.000,209108.000,271157.000,181761.000,113223.000,130536.000,32443.000,29.000,88.000,184.000,0.000
529891.000,334476.000,217463.000,58890.000,66227.000,24627.000,23801.000,8297.000,37.000,94.000,-196.000,0.000
3189374.000,735148.000,231022.000,182661.000,184478.000,291450.000,102624.000,49474.000,24.000,100.000,-59.000,0.000
1633293.000,629028.000,377177.000,271027.000,215750.000,76423.000,40625.000,40234.000,40.000,90.000,58.000,0.000
44942.000,579028.000,64135.000,28825.000,30625.000,12175.000,22624.000,6695.000,38.000,81.000,-3.000,0.000
1979129.000,281934.000,209603.000,211049.000,49631.000,99244.000,80346.000,31491.000,26.000,74.000,-75.000,0.000
451483.000,153443.000,49634.000,50602.000,43217.000,12977.000,11367.000,5675.000,38.000,77.000,77.000,0.000
1191147.000,1303079.000,91335.000,231629.000,45673.000,51714.000,22489.000,12419.000,23.000,81.000,167.000,0.000
796649.000,153817.000,6053.000,24715.000,11258.000,7029.000,7643.000,4518.000,17.000,69.000,146.000,0.000
58282.000,26199.000,33712.000,3005.000,1557.000,1515.000,1607.000,502.000,24.000,74.000,246.000,0.000
1159005.000,428892.000,63859.000,168299.000,91394.000,41261.000,24099.000,21602.000,8.000,75.000,-25.000,0.000
2110246.000,404372.000,180370.000,40849.000,142774.000,35367.000,18907.000,18398.000,10.000,74.000,90.000,0.000
2085609.000,90247.000,152038.000,66276.000,69686.000,28436.000,26577.000,4712.000,14.000,80.000,-26.000,0.000
335718.000,75292.000,16652.000,3702.000,14309.000,9136.000,7326.000,2303.000,23.000,97.000,96.000,0.000
1757204.000,449896.000,114485.000,117993.000,51360.000,28211.000,15635.000,28976.000,37.000,80.000,-276.000,0.000
1358540.000,105095.000,32701.000,58167.000,17849.000,10335.000,6673.000,7918.000,34.000,80.000,50.000,0.000
2018104.000,618086.000,114386.000,46683.000,84729.000,37635.000,26496.000,13647.000,34.000,84.000,119.000,0.000
380136.000,320436.000,155833.000,39119.000,45185.000,73306.000,30632.000,1529.000,27.000,66.000,-53.000,0.000
16296.000,16946.000,1355.000,807.000,1078.000,1793.000,2385.000,610.000,30.000,75.000,-89.000,0.000
162401.000,10667.000,28167.000,10152.000,16636.000,6528.000,7861.000,5256.000,38.000,61.000,-125.000,0.000
1378683.000,213036.000,14872.000,12744.000,41945.000,26367.000,10829.000,6256.000,47.000,66.000,24.000,0.000
545275.000,61678.000,31576.000,9192.000,7847.000,9377.000,14780.000,3092.000,53.000,57.000,-138.000,0.000
2066633.000,198392.000,21712.000,4120.000,4537.000,5384.000,5807.000,4400.000,50.000,60.000,42.000,0.000
334495.000,227962.000,41194.000,20875.000,15196.000,7260.000,6495.000,3656.000,37.000,61.000,33.000,0.000
521814.000,136190.000,109745.000,68812.000,18843.000,11183.000,7430.000,2675.000,23.000,44.000,39.000,0.000
1967297.000,226419.000,34633.000,38289.000,50402.000,42298.000,16946.000,9172.000,11.000,69.000,156.000,0.000
648421.000,492961.000,36283.000,56191.000,24638.000,17441.000,31809.000,4821.000,14.000,61.000,-204.000,0.000
129271.000,15314.000,2963.000,3112.000,8536.000,3181.000,2498.000,850.000,17.000,64.000,-26.000,0.000
350737.000,141630.000,15362.000,18552.000,12769.000,6610.000,9007.000,1864.000,34.000,63.000,144.000,0.000
467767.000,1003415.000,41335.000,16627.000,110474.000,44112.000,45087.000,20660.000,34.000,48.000,85.000,0.000
735838.000,69157.000,40553.000,32255.000,17392.000,14333.000,7606.000,3978.000,21.000,34.000,-125.000,0.000
554146.000,234761.000,6729.000,7930.000,6486.000,9595.000,21770.000,11825.000,30.000,48.000,-7.000,0.000
1456881.000,67621.000,18354.000,58059.000,52615.000,23224.000,18433.000,8752.000,20.000,35.000,132.000,0.000
1026988.000,21914.000,5965.000,5106.000,10893.000,4704.000,4384.000,1986.000,34.000,43.000,64.000,0.000
428256.000,250670.000,35260.000,11244.000,55364.000,14682.000,3691.000,5414.000,44.000,60.000,124.000,0.000
570921.000,55051.000,35544.000,11464.000,9880.000,7920.000,3932.000,3083.000,38.000,43.000,-2.000,0.000
827831.000,38412.000,6314.000,10049.000,11938.000,9357.000,10565.000,3509.000,44.000,69.000,145.000,0.000
1178467.000,498211.000,35757.000,222677.000,35698.000,20293.000,18897.000,22789.000,47.000,61.000,-44.000,0.000
149779.000,104520.000,49132.000,79766.000,20968.000,11688.000,19286.000,3797.000,34.000,67.000,-6.000,0.000
986988.000,338284.000,33277.000,76435.000,42327.000,60622.000,18898.000,6257.000,34.000,87.000,168.000,0.000
631627.000,78821.000,9959.000,21887.000,12293.000,20270.000,6766.000,4623.000,38.000,77.000,-84.000,0.000
1285660.000,104121.000,20994.000,16713.000,32791.000,24390.000,6105.000,3633.000,38.000,77.000,114.000,0.000
347080.000,154656.000,48120.000,17196.000,11609.000,23522.000,8356.000,3760.000,54.000,70.000,5.000,0.000
1176146.000,802346.000,186957.000,66871.000,83170.000,42798.000,17011.000,12058.000,63.000,61.000,101.000,0.000
2288280.000,428771.000,180514.000,19936.000,39106.000,45899.000,29654.000,21672.000,50.000,61.000,109.000,0.000
113266.000,22972.000,2642.000,2600.000,4686.000,1284.000,939.000,1300.000,43.000,64.000,-13.000,0.000
1590871.000,42201.000,27638.000,9735.000,13093.000,9290.000,6238.000,1426.000,30.000,61.000,-267.000,0.000
790450.000,133715.000,109023.000,6956.000,8737.000,4892.000,2871.000,1929.000,34.000,66.000,-85.000,0.000
1015494.000,156217.000,62384.000,22178.000,5022.000,20121.000,5363.000,6627.000,26.000,78.000,180.000,0.000
873816.000,61006.000,43783.000,52901.000,16962.000,28528.000,14800.000,7308.000,27.000,80.000,83.000,0.000
109361.000,19283.000,45321.000,9501.000,3290.000,5373.000,4858.000,2470.000,40.000,96.000,-178.000,0.000
632007.000,227756.000,45271.000,7143.000,11342.000,17620.000,9513.000,4746.000,35.000,100.000,275.000,0.000
769077.000,86070.000,11491.000,4714.000,15960.000,10256.000,4633.000,1287.000,44.000,90.000,88.000,0.000
945227.000,89111.000,1921.000,10308.000,9122.000,7120.000,1570.000,2618.000,48.000,78.000,-146.000,0.000
2306049.000,825458.000,371411.000,94306.000,84962.000,35508.000,14673.000,9489.000,38.000,56.000,57.000,0.000
357457.000,101364.000,75785.000,73316.000,57504.000,19593.000,27097.000,4961.000,30.000,43.000,71.000,0.000
174975.000,258029.000,25144.000,34006.000,31586.000,13123.000,11891.000,5967.000,34.000,57.000,48.000,0.000
1194870.000,134910.000,32886.000,40794.000,81262.000,34780.000,11520.000,6167.000,23.000,61.000,228.000,0.000
1350759.000,111184.000,19677.000,12252.000,3813.000,12812.000,12457.000,1985.000,34.000,69.000,-227.000,0.000
228935.000,200125.000,57189.000,6881.000,20195.000,4536.000,3697.000,1805.000,43.000,63.000,109.000,0.000
256343.000,118366.000,28100.000,55165.000,29522.000,21917.000,24775.000,5169.000,27.000,51.000,-23.000,0.000
1460916.000,163721.000,19061.000,34623.000,22624.000,41056.000,22322.000,2226.000,37.000,61.000,2.000,0.000
494742.000,38129.000,5314.000,5058.000,19433.000,4671.000,1501.000,746.000,38.000,61.000,-219.000,0.000
2074563.000,236607.000,68717.000,54876.000,24343.000,21232.000,12476.000,5558.000,40.000,56.000,73.000,0.000
154938.000,83066.000,3093.000,1048.000,8687.000,7470.000,1652.000,1197.000,51.000,60.000,53.000,0.000
993434.000,990512.000,324542.000,156328.000,89378.000,46371.000,76622.000,64233.000,51.000,37.000,118.000,0.000
122285.000,96706.000,27894.000,37433.000,16674.000,13842.000,6707.000,7712.000,35.000,41.000,120.000,0.000
1075533.000,390567.000,154808.000,135026.000,25003.000,74040.000,21855.000,19404.000,34.000,53.000,56.000,0.000
1325361.000,342246.000,64652.000,113667.000,40113.000,49285.000,43379.000,16853.000,38.000,54.000,93.000,0.000
715093.000,122371.000,16503.000,6312.000,7168.000,8739.000,6427.000,2430.000,40.000,77.000,99.000,0.000
159155.000,15029.000,1916.000,3628.000,2381.000,2282.000,1056.000,1068.000,44.000,66.000,39.000,0.000
69480.000,35256.000,7897.000,4068.000,17556.000,6571.000,2179.000,879.000,47.000,61.000,161.000,0.000
703966.000,116342.000,21369.000,44849.000,19019.000,15246.000,12609.000,6198.000,48.000,50.000,-116.000,0.000
2061613.000,848074.000,84763.000,239721.000,44353.000,56314.000,77530.000,16087.000,47.000,51.000,624.000,0.000
547547.000,24655.000,9662.000,9451.000,4766.000,6990.000,6413.000,2008.000,44.000,57.000,122.000,0.000
804961.000,11992.000,10671.000,2731.000,7058.000,6414.000,3917.000,1595.000,48.000,64.000,41.000,0.000
1239428.000,529159.000,27575.000,9262.000,95562.000,18867.000,25768.000,19713.000,54.000,77.000,148.000,0.000
1564428.000,155393.000,12734.000,17519.000,17795.000,10533.000,6821.000,4814.000,47.000,54.000,156.000,0.000
1493463.000,724368.000,356736.000,370730.000,24698.000,43854.000,18718.000,10181.000,48.000,48.000,-132.000,0.000
